,ID,Restaurant,Address,Time,Price,District,negative,positive,cmt_Rate,total
87,88,Milo Dầm - Chung Cư 42,"Tầng Trệt, Tầng Trệt Chung Cư 42, 42 Tôn Thất Hiệp, P. Bến Nghé, Quận 1, TP. HCM",,20.000 - 30.000,Quận 1,9.0,7.0,5.7875,16.0
88,89,Hủ Tiếu Nam Vang & Mì Bò Viên A Sìn,"212/325A Nguyễn Văn Nguyễn, P. Tân Định, Quận 1, TP. HCM",,45.000 - 86.000,Quận 1,0.0,2.0,10.0,2.0
89,90,Hảo Ký Mì Gia - Hủ Tiếu Xào - Đinh Công tráng,"67H/1 Đinh Công Tráng. P. Tân Định, Quận 1, TP. HCM",07:00 - 22:30,0 - 0,Quận 1,16.0,40.0,8.175,56.0
90,91,Kibi - Bánh Gạo Lắc - Cô Giang,"50 Cô Giang, P. Cô Giang, Quận 1, TP. HCM",,15.000 - 25.000,Quận 1,15.0,17.0,6.78125,32.0
91,92,Cơm Niêu Thiên Lý - Nguyễn Đình Chiểu,"16 Nguyễn Đình Chiểu, P. Đa Kao, Quận 1, TP. HCM",,20.000 - 100.000,Quận 1,32.0,68.0,7.087999999999999,100.0
92,93,Miss Đác - Chè Không Ngọt - Hoàng Sa,"111B Hoàng Sa, P. Đa Kao, Quận 1, TP. HCM",,0 - 20.000,Quận 1,6.0,5.0,6.581818181818182,11.0
93,94,Hai Thuận - Bún Cay Thái & Mì Trộn - Đề Thám,"155 Đề Thám, P. Cô Giang, Quận 1, TP. HCM",,30.000 - 60.000,Quận 1,0.0,2.0,9.7,2.0
94,95,Bánh Tráng Muối NPT Food - Nguyễn Công Trứ,"372 Nguyễn Công Trứ, P. Cầu Ông Lãnh, Quận 1, TP. HCM",,10.000 - 100.000,Quận 1,5.0,6.0,6.636363636363637,11.0
95,96,"Cơm Gà, Mẹt Gà, Gỏi - Gà Ta Ngon Số 1 – 226 Đinh Tiên Hoàng","226 Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",,20.000 - 200.000,Quận 1,2.0,1.0,6.666666666666667,3.0
96,97,Chewy Chewy - Cafe & Bánh - Trần Hưng Đạo,"34 Trần Hưng Đạo, P. Phạm Ngũ Lão, Quận 1, TP. HCM",,20.000 - 60.000,Quận 1,43.0,57.0,6.478,100.0
97,98,MATSURI - Japanese Restaurant - Pasteur,"180A Pasteur, P. Bến Thành, Quận 1, TP. HCM",,0 - 0,Quận 1,0.0,2.0,9.6,2.0
98,99,Sukiya - Cơm Bò Hầm & Mì Ramen - Thái Văn Lung,"10Ab Thái Văn Lung, P. Bến Nghé, Quận 1, TP. HCM",,15.000 - 99.000,Quận 1,1.0,3.0,7.5,4.0
99,100,Jjang! - Cơm Trộn Hàn Quốc - Nguyễn Thái Bình,"128 Nguyễn Thái Bình, P. Nguyễn Thái Bình, Quận 1, TP. HCM",00:00 - 23:59,10.000 - 100.000,Quận 1,,,,
100,101,Dì Năm Sa Đéc - Hủ Tiếu (Hủ Tíu) & Bánh Tằm,"166 Bùi Thị Xuân, P. Phạm Ngũ Lão, Quận 1, TP. HCM",06:00 - 22:00,10.000 - 45.000,Quận 1,27.0,73.0,7.156000000000001,100.0
101,102,Nao Ăn Uống Ngay Nào - Trần Hưng Đạo,"Hẻm 391 TK 43/2 Trần Hưng Đạo, P. Cầu Kho, Quận 1, TP. HCM",,16.000 - 68.000,Quận 1,29.0,52.0,6.925925925925926,81.0
102,103,Miến Lươn Thanh Thảo - Lý Tự Trọng,"176/13 Lý Tự Trọng, P. Bến Thành, Quận 1, TP. HCM",05:30 - 12:45,50.000 - 132.000,Quận 1,14.0,11.0,6.096,25.0
103,104,Quán Chay Sala,"71C Nguyễn Thị Minh Khai, P. Bến Thành, Quận 1, TP. HCM",06:00 - 20:55,17.000 - 45.000,Quận 1,18.0,16.0,6.629411764705883,34.0
104,105,Bánh Mì Anh Phán - Bánh Mì Gà & Thịt Nguội,"145 Cống Quỳnh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",05:35 - 22:30,10.000 - 20.000,Quận 1,20.0,31.0,6.666666666666667,51.0
105,106,"Tuấn Phương - Mì Xào, Nui Xào & Ăn Vặt","162/13 Bùi Thị Xuân, P. Phạm Ngũ Lão, Quận 1, TP. HCM",,5.000 - 35.000,Quận 1,3.0,2.0,6.840000000000001,5.0
106,107,Vựa Cơm Sài Gòn,"6/3 Nguyễn Thị Minh Khai, P. Đa Kao, Quận 1, TP. HCM",,18.000 - 50.000,Quận 1,11.0,10.0,7.142857142857143,21.0
107,108,Bánh Mì Que Pháp - Bùi Viện,"114 Bùi Viện, P. Phạm Ngũ Lão, Quận 1, TP. HCM",06:30 - 16:30,10.000 - 17.000,Quận 1,8.0,9.0,6.411764705882353,17.0
108,109,Cơm - Mì Trộn MU Summer,"214/B17 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",,7.000 - 66.000,Quận 1,0.0,1.0,10.0,1.0
109,110,Sơn Nga Phở Gà - Nguyễn Đình Chiểu,"48 Nguyễn Đình Chiểu, P. Đa Kao, Quận 1, TP. HCM",05:45 - 20:00,30.000 - 55.000,Quận 1,21.0,15.0,6.138888888888889,36.0
110,111,Gà Rán & Burger McDonald's Ben Thanh,"2-2A Trần Hưng Đạo, P. Bến Thành, Quận 1, TP. HCM",00:00 - 23:59,50.000 - 200.000,Quận 1,39.0,61.0,6.664,100.0
111,112,Anh Tùng - Cá Viên Chiên Nước Mắm,"36 Nguyễn Thị Nghĩa, P. Bến Thành, Quận 1, TP. HCM",,19.000 - 340.000,Quận 1,3.0,2.0,6.04,5.0
112,113,Gimbap Korean Food - Món ăn Hàn Quốc,"43/3 Nguyễn Thái Học, P. Cầu Ông Lãnh, Quận 1, TP. HCM",,30.000 - 100.000,Quận 1,3.0,1.0,4.25,4.0
113,114,Bà Bành Bakery - Bông Lan Trứng Muối - Sương Nguyệt Ánh,"1 Sương Nguyệt Ánh, P. Bến Thành, Quận 1, TP. HCM",,0 - 0,Quận 1,1.0,6.0,8.742857142857144,7.0
114,115,Geylang Lor 9 - Cháo Ếch Singapore - Đông Du,"35 Đông Du, P. Bến Nghé, Quận 1, TP. HCM",,200.000 - 300.000,Quận 1,11.0,37.0,6.9625,48.0
115,116,Cháo Trắng Hột Vịt Muối - Trần Khắc Chân,"10 Trần Khắc Chân, P. Tân Định, Quận 1, TP. HCM",,10.000 - 20.000,Quận 1,6.0,0.0,3.3000000000000003,6.0
116,117,Cơm Chiên Chảo Lửa - Gà Xối Mỡ - Nguyễn Thái Bình,"128 Nguyễn Thái Bình, P. Nguyễn Thái Bình, Quận 1, TP. HCM",00:00 - 23:59,10.000 - 100.000,Quận 1,2.0,0.0,5.0,2.0
117,118,Tré Trộn Cô Ri - Đông Du,"58 Đông Du, P. Bến Thành, Quận 1, TP. HCM",,12.000 - 100.000,Quận 1,1.0,0.0,3.6,1.0
118,119,"Gotcha - Burger, Kebab & Taco","267 Đề Thám, P. Phạm Ngũ Lão, Quận 1, TP. HCM",00:00 - 23:59,15.000 - 90.000,Quận 1,15.0,2.0,4.847058823529412,17.0
119,120,Cháo Ếch Việt Sing - Nguyễn Cảnh Chân,"Tk 21/10 Nguyễn Cảnh Chân, P. Cầu Kho, Quận 1, TP. HCM",00:00 - 23:59,60.000 - 60.000,Quận 1,4.0,7.0,7.181818181818182,11.0
120,121,Bánh Mì & Sữa Bắp 122 - Bùi Thị Xuân,"122E Bùi Thị Xuân, P. Phạm Ngũ Lão, Quận 1, TP. HCM",00:00 - 01:00 | 05:30 - 23:59,20.000 - 33.000,Quận 1,34.0,66.0,6.626,100.0
121,122,Twelve - Cơm Gà Hải Nam Singapore - Bùi Viện,"207 Bùi Viện, P. Phạm Ngũ Lão, Quận 1, TP. HCM",,20.000 - 500.000,Quận 1,,,,
122,123,Cháo Sườn Cô Giang - Đinh Tiên Hoàng,"14B Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",00:00 - 23:59,15.000 - 29.000,Quận 1,20.0,28.0,6.520833333333333,48.0
123,124,Tiến Hải Quán - Bún Đậu Mắm Tôm Hà Nội - Nguyễn Thị Nghĩa,"8 Nguyễn Thị Nghĩa, P. Bến Thành, Quận 1, TP. HCM",,12.000 - 59.000,Quận 1,,,,
124,125,San Fu Lou - Ẩm Thực Quảng Đông - Lê Lai,"Tầng Trệt, AB Tower, 76A Lê Lai, P. Bến Thành, Quận 1, TP. HCM",,30.000 - 190.000,Quận 1,46.0,54.0,6.906000000000001,100.0
